GonadID,Genotype,Sex,treatment,ntX,RAD51
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7615726709153061,6
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7488473347118617,6
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7226329086894029,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7335025072751136,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7845434846486571,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.9336369867768138,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.9404636136402519,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.9359710472864812,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.9279809423740931,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.9131741418603044,15
