dataset,geno,sex,treat,syp
Madeleine,msh5/ccw66,herm,HS,163.9889423934368
Madeleine,msh5/ccw66,herm,HS,167.94742096505823
Madeleine,msh5/ccw66,herm,HS,179.28330347883474
Madeleine,msh5/ccw66,herm,HS,186.374194414608
Madeleine,msh5/ccw66,herm,HS,173.25550146056474
Madeleine,msh5/ccw66,herm,HS,174.50866691607433
Madeleine,msh5/ccw66,herm,HS,389.8075221238938
Madeleine,msh5/ccw66,herm,HS,245.12271291057388
Madeleine,msh5/ccw66,herm,HS,334.913634462568
Madeleine,msh5/ccw66,herm,HS,343.4929377350606
Madeleine,msh5/ccw66,herm,HS,243.38475205944115
Madeleine,msh5/ccw66,herm,HS,175.4036901865369
Madeleine,msh5/ccw66,herm,HS,279.5364347234814
Madeleine,msh5/ccw66,herm,HS,168.806552962298
Madeleine,msh5/ccw66,herm,HS,233.7825818406424
Madeleine,msh5/ccw66,herm,HS,260.52873738917765
Madeleine,msh5/ccw66,herm,HS,162.44112392398895
Madeleine,msh5/ccw66,herm,HS,212.47631638163816
Madeleine,msh5/ccw66,herm,HS,195.315505271278
Madeleine,msh5/ccw66,herm,HS,174.52502344615908
Madeleine,msh5/ccw66,herm,HS,182.91576506955175
Madeleine,msh5/ccw66,herm,HS,247.01262888657985
Madeleine,msh5/ccw66,herm,HS,299.46229969585545
Madeleine,msh5/ccw66,herm,HS,291.5046433607235
Madeleine,msh5/ccw66,herm,HS,342.7896805896806
Madeleine,msh5/ccw66,herm,HS,273.1766412561156
Madeleine,msh5/ccw66,herm,HS,164.07739343116702
Madeleine,msh5/ccw66,herm,HS,190.4186329360253
Madeleine,msh5/ccw66,herm,HS,266.2145214521452
Madeleine,msh5/ccw66,herm,HS,268.24280492416284
Madeleine,msh5/ccw66,herm,HS,233.9442471590909
Madeleine,msh5/ccw66,herm,HS,245.263764141241
Madeleine,msh5/ccw66,herm,HS,241.00177930289453
Madeleine,msh5/ccw66,herm,HS,197.36752293577985
Madeleine,msh5/ccw66,herm,HS,302.3691664220722
Madeleine,msh5/ccw66,herm,HS,192.8912328236888
Madeleine,msh5/ccw66,herm,HS,166.77777777777777
Madeleine,msh5/ccw66,herm,HS,250.69911286347957
Madeleine,msh5/ccw66,herm,HS,224.6652529536504
Madeleine,msh5/ccw66,herm,HS,186.9330085261876
Madeleine,msh5/ccw66,herm,HS,230.69114010403345
Madeleine,msh5/ccw66,herm,HS,286.8683853459973
Madeleine,msh5/ccw66,herm,HS,263.4612550733687
Madeleine,msh5/ccw66,herm,HS,354.94890912942174
Madeleine,msh5/ccw66,herm,HS,636.6179519954552
Madeleine,msh5/ccw66,herm,HS,192.68571790647573
Madeleine,msh5/ccw66,herm,HS,273.7177317672042
Madeleine,msh5/ccw66,herm,HS,229.1824934632755
Madeleine,msh5/ccw66,herm,HS,225.186310570926
Madeleine,msh5/ccw66,herm,HS,270.61473962930273
Madeleine,msh5/ccw66,herm,HS,219.8462871501603
Madeleine,msh5/ccw66,herm,HS,223.0946793367445
Madeleine,msh5/ccw66,herm,HS,236.29172923645604
Madeleine,msh5/ccw66,herm,HS,179.69395442851894
Madeleine,msh5/ccw66,herm,HS,253.09171399343893
Madeleine,msh5/ccw66,herm,HS,698.2114581261189
Madeleine,msh5/ccw66,herm,HS,246.438984380572
Madeleine,msh5/ccw66,herm,HS,180.10148514851485
Madeleine,msh5/ccw66,herm,HS,188.53516268130144
Madeleine,msh5/ccw66,herm,HS,204.13356921716056
Madeleine,msh5/ccw66,herm,HS,169.9927830993308
Madeleine,msh5/ccw66,herm,HS,206.12093898573693
Madeleine,msh5/ccw66,herm,HS,182.17191791888837
Madeleine,msh5/ccw66,herm,HS,351.69206187476846
Madeleine,msh5/ccw66,herm,HS,183.51409810737735
Madeleine,msh5/ccw66,herm,HS,240.96704577564284
Madeleine,msh5/ccw66,herm,HS,268.9158272259473
Madeleine,msh5/ccw66,herm,HS,319.7479425837321
Madeleine,msh5/ccw66,herm,HS,285.2279529189093
Madeleine,msh5/ccw66,herm,HS,296.4176726820162
Madeleine,msh5/ccw66,herm,HS,176.9486328125
Madeleine,msh5/ccw66,herm,HS,168.19385530227947
Madeleine,msh5/ccw66,herm,HS,249.51311126860384
Madeleine,msh5/ccw66,herm,HS,186.7868268802848
Madeleine,msh5/ccw66,herm,HS,182.2572162910241
Madeleine,msh5/ccw66,herm,HS,174.83333333333334
Madeleine,msh5/ccw66,herm,HS,230.2512303861965
Madeleine,msh5/ccw66,herm,HS,197.7629395495852
Madeleine,msh5/ccw66,herm,HS,209.69224474952267
Madeleine,msh5/ccw66,herm,HS,176.61498174892876
Madeleine,msh5/ccw66,herm,HS,177.4368840030326
Madeleine,msh5/ccw66,herm,HS,341.78642994549534
Madeleine,msh5/ccw66,herm,HS,268.36975268776354
Madeleine,msh5/ccw66,herm,HS,236.95659666128165
Madeleine,msh5/ccw66,herm,HS,252.74242855400627
Madeleine,msh5/ccw66,herm,HS,270.15559390278975
Madeleine,msh5/ccw66,herm,HS,184.3084203078012
Madeleine,msh5/ccw66,herm,HS,295.4103249548674
Madeleine,msh5/ccw66,herm,HS,292.67081604426005
Madeleine,msh5/ccw66,herm,HS,169.7045009784736
Madeleine,msh5/ccw66,herm,HS,201.65095682429228
Madeleine,msh5/ccw66,herm,HS,164.81871244635192
Madeleine,msh5/ccw66,herm,HS,321.23478896400513
Madeleine,msh5/ccw66,herm,HS,172.6222537982293
Madeleine,msh5/ccw66,herm,HS,170.8535050348567
Madeleine,msh5/ccw66,herm,HS,169.06994207251662
Madeleine,msh5/ccw66,herm,HS,372.3315949587136
Madeleine,msh5/ccw66,herm,HS,313.7235412138438
Madeleine,msh5/ccw66,herm,HS,191.20948012232412
Madeleine,msh5/ccw66,herm,HS,205.95595797004248
Madeleine,msh5/ccw66,herm,HS,307.75211466165416
Madeleine,msh5/ccw66,herm,HS,297.91871418859864
Madeleine,msh5/ccw66,herm,HS,243.99509770545384
Madeleine,msh5/ccw66,herm,HS,184.35968116904684
Madeleine,msh5/ccw66,herm,HS,230.09535129424196
Madeleine,msh5/ccw66,herm,HS,266.3147842562034
Madeleine,msh5/ccw66,herm,HS,251.12886287337523
Madeleine,msh5/ccw66,herm,HS,163.37565849227974
